Performance,Video_URL
1.152005453,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-871075730546911
1.026008382,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-871037203883530
0.3890450119,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-819765763526762
1.769788538,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-818776323774715
0.634267182,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-818462803696191
0.4398729302,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-817768845898837
0.9469199043,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-817763467176157
0.5542947838,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-817477363934899
0.3984262678,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-817475239730695
0.1310625392,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-817135236672734
0.3466744007,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-816335920524988
0.3496078122,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-815391233916449
0.3216071574,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-814072014151046
0.2955329139,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-813828049840959
0.02170407995,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-811606650922029
0.902020759,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-8111507755613955
0.4356033503,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-8100667816697710
1.35765678,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-809480737932683
1.269243358,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-808321904744283
0.3931359308,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-808097524590260
1.622021326,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-807800198130528
0.1667159739,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-806751788307038
1.439200567,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-8057957437624799
0.9217684976,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-803990118540094
1.023909191,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-803897110603133
1.42394793,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-802443478544141
0.350441467,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-8008073409211713
0.1380391797,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-7995631707140182
1.039207045,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-797179088937277
1.466275505,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-797024995612413
0.4687084171,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-796944101940903
0.4347875273,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-793257836073148
1.375616281,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-791572172961239
1.729920228,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-790055392972248
1.17274286,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-789793989900194
0.6016354499,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-789715035654710
0.06699077253,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-786610583313461
0.6704177506,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-696006115320413
1.13381275,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-695130362192250
0.7034741331,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-694675672308301
0.7781117448,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-693988272279384
0.6251268548,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-691857912087615
1.038729656,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-691581235967071
0.7578429305,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-691252805779835
0.1577155143,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-690670309134450
0.8701410235,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-690541956158254
0.9975716608,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-689771035910864
0.1546154854,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-689599909618915
0.4389019268,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-689363059404444
1.745584497,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-688887926060399
0.394712846,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-687665956347322
1.486601908,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-687024156350870
1.531557628,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-686488653080244
1.201593094,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-686083626588321
0.2653913018,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-684364333171304
0.3411221697,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-684264882912286
1.103187675,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-6837957766319053
0.8518515982,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-682791943270614
1.109931608,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-682596103528135
0.6403011862,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-680549530054789
0.6025557662,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-680540137074841
0.6123787148,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-680162593779089
0.3938699413,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-679261516829908
1.11178084,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-678133704039459
0.4447916836,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-676770877464110
0.4503224833,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-6764280623620361
0.4246126174,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-673961584214053
1.621739923,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-6720438181324436
1.047132064,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-671839840899900
0.6708475909,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-429145826826558
1.043892679,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-427878012859864
0.4085582372,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-426644026275739
0.08121894995,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-425151876539382
1.129767547,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-424802420355057
0.430170401,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-424394867097391
0.718156415,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-1698824364241828
1.79088735,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-1693566687752051
1.575394851,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-1689212771862832
1.06625792,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-1685108828975354
0.1609877401,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-1119706949586170
0.1136321159,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-1119272995406354
1.795151619,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-1118763132933218
